"SA2,""latitude.y"",""longitude.y"""
"Lambton - New Lambton,-32.9179825,151.722067481829"
"Maryland - Fletcher - Minmi,-32.8744388666667,151.638709533333"
"Mayfield - Warabrook,-32.892686,151.72215475"
"Merewether - The Junction,-32.93705375,151.759387586528"
"Newcastle - Cooks Hill,-32.9294982,151.772809080927"
"Newcastle Port - Kooragang,-32.89997875,151.77847255"
"Shortland - Jesmond,-32.8926362,151.69064345"
"Stockton - Fullerton Cove,-32.8479228,151.834420225397"
"Wallsend - Elermore Vale,-32.9107296686657,151.660279587319"
"Waratah - North Lambton,NA,NA"
"Wickham - Carrington - Tighes Hill,-32.9134982,151.760598866667"
"East Maitland - Metford,-32.76181855,151.59773185"
"Rutherford (North) - Aberglasslyn,-33.76731605,145.0935072"
"Rutherford (South) - Telarah,-33.7797362,145.09643995"
"Tenambit - East Maitland,-32.7434353,151.6032018"
"Thornton - Millers Forest,-35.01581345,148.7567376"
"Hunter Region nfd,-25,135"
"Armidale,-30.5144881,151.6656564"
"Armidale Surrounds - North,NA,NA"
"Armidale Surrounds - South,NA,NA"
"Walcha,-31.1975806,151.749126623564"
"Glen Innes,-29.7379146,151.7356326"
"Inverell,-29.43679805,151.177069349285"
"Inverell Surrounds - East,NA,NA"
"Inverell Surrounds - West,NA,NA"
"Tenterfield,-28.83843,152.281316581231"
"Moree,-29.4617202,149.8407153"
"Moree Surrounds,-25,135"
"Narrabri,-30.3278407,149.557154183225"
"Narrabri Surrounds,-25,135"
"Gunnedah,-31.02375935,150.203652729306"
"Gunnedah Surrounds,-25,135"
"Quirindi,-31.5021772,150.6804062"
"Tamworth - East,-31.0894444,150.9436111"
"Tamworth - North,-31.0780137,150.9258909"
"Tamworth - West,-31.0997222,150.9052778"
"Tamworth Surrounds,-25,135"
"New England North West Region nfd,-25,135"
"Grafton,-29.6816773,152.9336357"
"Grafton Surrounds,-25,135"
"Maclean - Yamba - Iluka,-30.2109773,140.7639216"
"Bellingen,-30.37399135,152.719209956678"
"Coffs Harbour - North,-30.3144624,153.088137222238"
